Sl No.,Latitude,Longitude,Ward,Street Name,Type_of_House,Presence_of_well_,Presence_of_overhead,Source_of_drinking,Processed_for_Drinking,Presence_of_farml,If_yes_chemical_f,Crops_grown_in_Na,Specify_the_veget,Fuel_used_for_cook,Vessel_largely_use,Use_of_insectmosq,Grey Water Discharge,Presence of Toilet,Presence_of_septi
138,11.340414,77.525965,9,Thasamputhur Kotthukarar Veethi,Concrete,Bore well,Yes,Panchyat water - Piped,Nil,Yes,No/ Not known,Ground nut,Ground nut,LPG,SS pot,No,Farming/ Gardening,Yes,Yes
139,11.337118,77.519838,9,Masammavur Pomman Veethi,Concrete,Nil,No,Panchyat water - Piped,Nil,Yes,Yes,"Corn, Ground nut","Tomato ,brinjal",LPG,Pressure cooker,No,Directly to ground,Yes,No
140,11.339648,77.526191,9,Thasamputhur Kotthukarar Veethi,Concrete,Bore well,Yes,Panchyat water - Piped,Nil,Yes,Yes,Banana,No,LPG,SS pot,No,Directly to soakpit/ sewage canal,Yes,Yes
141,11.339455,77.519953,9,Masammavur Pomman Veethi,Concrete,Open well,No,Panchyat water - Piped,Personal RO,Yes,No/ Not known,"Corn, Ground nut",,LPG,SS pot,No,Directly to ground,Yes,Yes
142,11.339919,77.526292,9,Thasaiyar Veethi,Concrete,Both,Yes,Panchyat water - Piped,Boiling,Yes,Yes,Other crops,Suger cane,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
143,11.33998,77.527725,9,Aathikkattur Kamarajar Veethi,Concrete,Both,Yes,Bore well,Nil,Yes,Yes,Other crops,,"LPG, Firewood",SS pot,No,Farming/ Gardening,Yes,No
144,11.348143,77.523425,9,Aathikkattur Kamarajar Veethi,Concrete,Open well,Yes,Open well,Nil,Yes,Yes,"Vegetables, Ground nut, Other crops, Corn",,"LPG, Firewood",Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,Yes
145,11.342958,77.524247,9,Aathikkattur Kamarajar Veethi,Concrete,Open well,No,Open well,Nil,Yes,Yes,"Vegetables, Nil",,"LPG, Firewood",Pressure cooker,No,Directly to ground,Yes,Yes
146,11.338346,77.520848,9,Masammavur Pomman Veethi,Concrete,Nil,No,Panchyat water - Piped,Nil,Yes,Yes,"Vegetables, Ground nut, Other crops",,"LPG, Firewood",Aluminium pot,No,Directly to ground,Yes,No
147,11.337893,77.520419,9,Masammavur Pomman Veethi,Concrete,Nil,No,Panchyat water - Piped,Nil,Yes,No/ Not known,"Vegetables, Ground nut, Other crops","Cotton, ladies finger, brinjal","LPG, Firewood",Aluminium pot,No,Directly to ground,No,No
148,11.337322,77.5371,10,Naduvalasu Kothukarar Veethi,Concrete,Open well,Yes,Open well,Nil,Yes,No/ Not known,"Rice, Vegetables, Coconut, Banana",,"Gobar gas, LPG",Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
149,11.340866,77.535434,10,Annamaar Veethi Main Road,Concrete,Bore well,Yes,Bore well,Personal RO,No,,Nil,,LPG,SS pot,No,Directly to soakpit/ sewage canal,Yes,Yes
150,,,10,Naduvalasu Kothukarar Veethi,Concrete,Open well,Yes,Bore well,Personal RO,Yes,Yes,"Vegetables, Banana",Nil,LPG,SS pot,No,Farming/ Gardening,Yes,Yes
151,11.341026,77.536488,10,Annamaar Veethi Main Road,Concrete,Bore well,Yes,Bore well,Nil,No,,Nil,,LPG,Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,Yes
152,11.341421,77.537042,10,Annamaar Veethi Main Road,Concrete,Open well,Yes,Bore well,Personal RO,No,,"Rice, Vegetables, Coconut, Banana, Corn, Ground nut, Other crops",Brinjal,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
153,11.34026,77.534601,10,Annamaar Veethi Main Road,Concrete,Bore well,Yes,Bore well,Personal RO,Yes,Yes,"Rice, Vegetables, Coconut, Banana, Corn, Ground nut, Other crops",Carrot,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
154,11.341615,77.538387,10,Naduvalasu Kothukarar Veethi,Concrete,Nil,Yes,Open well,Nil,Yes,Yes,"Banana, Other crops",Sugarcane,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
155,11.336116,77.543133,10,Naduvalasu Kothukarar Veethi,Concrete,Nil,Yes,Panchayat water - Syntex tank,Boiling,No,,Nil,,LPG,SS pot,No,Directly to soakpit/ sewage canal,Yes,Yes
156,11.340781,77.536997,10,Annamaar Veethi Main Road,Concrete,Nil,No,Panchayat water - Syntex tank,Nil,No,,Vegetables,All vegetables,LPG,SS pot,No,Directly to soakpit/ sewage canal,Yes,Yes
157,11.331958,77.543491,10,Naduvalasu Kothukarar Veethi,Concrete,Nil,Yes,Panchyat water - Piped,Nil,Yes,Yes,"Coconut, Other crops","Sugarcane, paddy",LPG,Pressure cooker,No,Directly to ground,Yes,Yes
158,11.341421,77.537042,10,Annamaar Veethi Main Road,Concrete,Nil,Yes,Panchyat water - Piped,Nil,No,,Vegetables,,LPG,Electric cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
159,11.335042,77.542417,10,Naduvalasu Kothukarar Veethi,Concrete,Nil,Yes,Panchyat water - Piped,Nil,Yes,Yes,"Coconut, Vegetables",Banana,LPG,SS pot,No,Directly to ground,Yes,Yes
160,11.346408,77.531667,10,Annamaar Veethi Main Road,Concrete,Nil,Yes,Panchyat water - Piped,Nil,No,,Vegetables,,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
161,11.336638,77.537415,10,Naduvalasu Kothukarar Veethi,Concrete,Nil,No,Panchyat water - Piped,Boiling,Yes,Yes,"Rice, Ground nut",,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
162,11.33715,77.537749,10,Naduvalasu Kothukarar Veethi,Concrete,Nil,Yes,Panchyat water - Piped,Boiling,Yes,Yes,"Rice, Vegetables, Banana, Coconut",,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
163,11.340456,77.536895,10,Annamaar Veethi Main Road,Concrete,Nil,Yes,Panchayat water - Syntex tank,Personal RO,Yes,No/ Not known,Vegetables,All vegetables,"LPG, Firewood",Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
164,11.336927,77.53757,10,Naduvalasu Kothukarar Veethi,Concrete,Nil,No,Panchyat water - Piped,Boiling,Yes,Yes,Nil,,"LPG, Firewood",Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,Yes
165,11.332986,77.543133,10,Naduvalasu Kothukarar Veethi,Concrete,Nil,No,Panchyat water - Piped,Personal RO,No,,Nil,,"LPG, Firewood",Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,Yes
166,11.340234,77.5366,10,Annamaar Veethi Main Road,Concrete,Open well,Yes,Open well,Nil,Yes,No/ Not known,"Other crops, Rice",,"LPG, Gobar gas",Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
167,11.339835,77.540625,11,Ricemill Puthur Colony,Concrete,Nil,No,Panchyat water - Piped,Nil,No,,Nil,,"Firewood, LPG",Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,Yes
168,,,11,Ricemill Puthur Colony,Concrete,Nil,No,Panchyat water - Piped,Nil,No,,Nil,,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
169,11.340353,77.54499,11,Ricemill Puthur Colony,Concrete,Nil,Yes,Panchyat water - Piped,Nil,Yes,No/ Not known,Nil,,LPG,SS pot,No,Directly to ground,Yes,Yes
170,11.34048,77.543684,11,Ricemill Puthur Colony,Concrete,Nil,No,Panchyat water - Piped,Boiling,No,,Nil,,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
171,11.342059,77.54385,11,Ricemill Puthur Colony,Concrete,Nil,No,Panchyat water - Piped,Personal RO,No,,Nil,,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
172,11.340497,77.544661,11,Ricemill Puthur Colony,Concrete,Nil,No,Panchyat water - Piped,Nil,Yes,No/ Not known,Nil,,LPG,Aluminium pot,No,Directly to ground,Yes,Yes
173,11.340652,77.543764,11,Ricemill Puthur Colony,Concrete,Nil,Yes,Panchyat water - Piped,Nil,Yes,No/ Not known,Nil,,LPG,SS pot,No,Directly to ground,Yes,Yes
174,11.339835,77.540625,11,Ricemill Puthur Colony,Concrete,Nil,No,Panchyat water - Piped,Boiling,No,,Nil,,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
175,11.340717,77.544895,11,Ricemill Puthur Colony,Concrete,Nil,Yes,Panchyat water - Piped,Nil,Yes,Yes,"Rice, Ground nut",,LPG,Pressure cooker,No,Directly to ground,Yes,No
176,11.340663,77.544686,11,Ricemill Puthur Colony,Concrete,Nil,No,Panchyat water - Piped,Nil,Yes,No/ Not known,Nil,,LPG,Aluminium pot,No,Directly to ground,Yes,Yes
177,11.342609,77.543985,11,Ricemill Puthur Colony,Concrete,Nil,No,Panchyat water - Piped,Nil,No,,Nil,,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
178,11.340054,77.544748,11,Ricemill Puthur Colony,Concrete,Nil,Yes,Panchyat water - Piped,Nil,Yes,No/ Not known,Nil,,LPG,SS pot,No,Directly to ground,Yes,Yes
179,11.34011,77.544346,11,Ricemill Puthur Colony,Concrete,Nil,Yes,Panchyat water - Piped,Nil,Yes,No/ Not known,Nil,,LPG,Aluminium pot,No,Directly to ground,Yes,Yes
180,11.342422,77.544208,11,Ricemill Puthur Colony,Concrete,Nil,No,Panchyat water - Piped,Personal RO,No,,Nil,,"LPG, Firewood",Aluminium pot,No,Directly to soakpit/ sewage canal,No,No
181,11.342422,77.544208,11,Ricemill Puthur Colony,Concrete,Nil,No,Panchyat water - Piped,Personal RO,No,,Nil,,"LPG, Firewood",Pressure cooker,Yes,Directly to soakpit/ sewage canal,Yes,Yes
182,11.337366,77.543194,12,Oonjakadu,Concrete,Bore well,Yes,Bore well,Nil,Yes,No/ Not known,Nil,,Gobar gas,Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,Yes
183,11.339835,77.540625,12,Naduvalasu Cashier Veethi,Concrete,Open well,Yes,Panchayat water - Overhead tank,Nil,Yes,No/ Not known,Nil,Sugar cane,"Gobar gas, LPG",Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
184,11.336512,77.553187,12,Manakkattu Puthur Pillaiyarkovil veethi,Concrete,Bore well,No,Bore well,Boiling,Yes,No/ Not known,"Vegetables, Other crops",Groundnut,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
185,11.335253,77.55036,12,Manakkattu Puthur Pillaiyarkovil veethi,Concrete,Bore well,Yes,Bore well,Nil,Yes,Yes,Other crops,"Groundnut, sweet potato",LPG,Pressure cooker,No,Directly to ground,Yes,Yes
186,,,12,Naduvalasu Cashier Veethi,Concrete,Bore well,Yes,Bore well,Nil,Yes,No/ Not known,Nil,Both market and garden,LPG,SS pot,No,Directly to ground,Yes,Yes
187,11.337304,77.543155,12,Naduvalasu Cashier Veethi,Concrete,Bore well,Yes,Bore well,Personal RO,Yes,No/ Not known,Nil,,LPG,Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,Yes
188,11.336381,77.537623,12,Naduvalasu Cashier Veethi,Concrete,Nil,Yes,Panchayat water - Overhead tank,Boiling,No,,"Rice, Vegetables, Coconut, Banana, Corn, Ground nut, Other crops",Carrot,LPG,Pressure cooker,Yes,Farming/ Gardening,Yes,Yes
189,11.335993,77.537225,12,Naduvalasu Cashier Veethi,Concrete,Nil,Yes,Panchayat water - Overhead tank,Nil,No,,"Vegetables, Coconut, Banana, Rice",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
190,11.335696,77.537057,12,Naduvalasu Cashier Veethi,Concrete,Nil,Yes,Panchayat water - Overhead tank,Nil,No,,"Vegetables, Coconut, Rice, Banana",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
191,11.335331,77.53762,12,Naduvalasu Cashier Veethi,Concrete,Open well,Yes,Panchyat water - Piped,Nil,Yes,Yes,"Rice, Vegetables, Coconut, Banana, Corn, Ground nut, Other crops",,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
192,11.336116,77.537741,12,Naduvalasu Cashier Veethi,Concrete,Nil,Yes,Panchyat water - Piped,Nil,No,,"Rice, Vegetables, Coconut, Banana, Corn, Ground nut, Other crops",,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
193,11.336076,77.537179,12,Naduvalasu LIC Veethi,Concrete,Nil,No,Panchyat water - Piped,Nil,No,,"Vegetables, Coconut, Banana",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
194,11.336099,77.537835,12,Naduvalasu Cashier Veethi,Concrete,Nil,No,Panchyat water - Piped,Nil,No,,Rice,Nil,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
195,11.335593,77.537432,12,Naduvalasu LIC Veethi,Concrete,Nil,No,Panchyat water - Piped,Boiling,Yes,Yes,Rice,No,LPG,SS pot,No,Directly to soakpit/ sewage canal,Yes,Yes
196,11.335593,77.537289,12,Naduvalasu Cashier Veethi,Concrete,Open well,No,Panchyat water - Piped,Personal RO,No,,"Rice, Vegetables",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
197,11.335754,77.537769,12,Naduvalasu Nehru Veethi,Concrete,Nil,Yes,Panchyat water - Piped,Nil,Yes,No/ Not known,Nil,,LPG,SS pot,No,Directly to ground,Yes,Yes
198,11.333694,77.53525,12,Naduvalasu Cashier Veethi,Concrete,Nil,Yes,Panchyat water - Piped,Nil,Yes,No/ Not known,Nil,,LPG,Aluminium pot,No,Directly to ground,Yes,Yes
199,11.335693,77.537473,12,Naduvalasu Cashier Veethi,Concrete,Nil,No,Panchyat water - Piped,Nil,No,,Nil,Nil,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
200,,,12,Naduvalasu Cashier Veethi,Concrete,Nil,Yes,Panchyat water - Piped,Nil,No,,"Rice, Vegetables, Coconut, Banana, Corn, Ground nut, Other crops",,LPG,Pressure cooker,Yes,Directly to soakpit/ sewage canal,Yes,Yes
201,11.336156,77.537683,12,Naduvalasu Nehru Veethi,Concrete,Nil,No,Panchyat water - Piped,Nil,Yes,No/ Not known,"Rice, Other crops",,LPG,Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,Yes
202,11.336029,77.537326,12,Naduvalasu Cashier Veethi,Concrete,Nil,No,Panchyat water - Piped,Nil,No,,Nil,,"LPG, Firewood",Pressure cooker,No,Farming/ Gardening,Yes,Yes
203,11.337306,77.543156,12,Naduvalasu Cashier Veethi,Concrete,Nil,No,Bore well,Nil,Yes,No/ Not known,Other crops,Coconut,"LPG, Gobar gas",Aluminium pot,No,Directly to ground,Yes,Yes
204,11.356172,77.531663,1,Pillaiyarkovil Veethi Thotta paguthigal,Thatched (Hut),Open well,Yes,Open well,Nil,Yes,Yes,"Rice, Coconut, Other crops",Sugar cane,Gobar gas,Pressure cooker,No,Farming/ Gardening,Yes,Yes
205,11.346263,77.544566,1,Kothukaraveethi Thotta paguthigal,Thatched (Hut),Open well,No,Open well,Nil,Yes,Yes,"Banana, Rice, Other crops",Sugarcane,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
206,11.343465,77.544208,1,Kothukaraveethi Thotta paguthigal,Thatched (Hut),Bore well,No,Open well,Nil,Yes,Yes,"Rice, Coconut, Other crops",Tumaric,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
207,,,2,Kothukara Veethi Thottapaguthigal,Thatched (Hut),Nil,No,Open well,Nil,No,,Nil,,Firewood,Aluminium pot,Yes,Directly to ground,No,No
208,11.349982,77.539177,2,Kothukara Veethi Thottapaguthigal,Thatched (Hut),Nil,No,Open well,Nil,No,,Nil,,Gobar gas,Earthern pot,No,Directly to ground,No,No
209,11.353605,77.529159,2,Kothukara Veethi Thottapaguthigal,Thatched (Hut),Bore well,No,Bore well,Nil,Yes,Yes,Banana,,LPG,SS pot,No,Farming/ Gardening,Yes,Yes
210,11.35359,77.5288,2,Kothukara Veethi Thottapaguthigal,Thatched (Hut),Open well,No,Open well,Nil,No,,Nil,,LPG,SS pot,No,Directly to ground,Yes,Yes
211,11.347415,77.554346,2,JJ Nagar Thottapaguthigal,Thatched (Hut),Bore well,No,Bore well,Nil,Yes,Yes,"Ground nut, Coconut, Rice, Banana, Vegetables","Lady's finger,","LPG, Firewood",Pressure cooker,No,Farming/ Gardening,Yes,Yes
212,11.343843,77.544924,2,Kothukara Veethi Thottapaguthigal,Thatched (Hut),Nil,Yes,Panchyat water - Piped,Nil,No,,"Rice, Vegetables, Coconut, Banana, Ground nut",,"LPG, Firewood",Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
213,11.342435,77.543069,3,Ricemill Puthur Thottapaguthigal,Thatched (Hut),Open well,Yes,Panchayat water - Overhead tank,Nil,No,,Nil,Nil,LPG,Pressure cooker,Yes,Farming/ Gardening,No,No
214,11.332306,77.543491,3,Ricemill Puthur Thottapaguthigal,Thatched (Hut),Open well,Yes,Panchyat water - Piped,Boiling,Yes,Yes,"Coconut, Banana",,LPG,Pressure cooker,No,Directly to ground,Yes,No
215,11.34649,77.549406,3,JJ Nagar,Thatched (Hut),Both,No,Panchyat water - Piped,Nil,Yes,No/ Not known,"Banana, Ground nut, Other crops",Turmeric,LPG,Bronze pot,No,Farming/ Gardening,Yes,Yes
216,,,3,Ricemill Puthur Thottapaguthigal,Thatched (Hut),Open well,No,Panchyat water - Piped,Personal RO,No,,Nil,,"LPG, Firewood",Pressure cooker,No,Directly to ground,Yes,Yes
217,11.341422,77.53842,4,Pattaththarasiamman Kovil Street,Thatched (Hut),Nil,No,Panchyat water - Piped,Boiling,No,,Nil,No,Firewood,SS pot,No,Directly to soakpit/ sewage canal,No,No
218,11.34159,77.538387,4,Pattaththarasiamman Kovil Street,Thatched (Hut),Nil,No,Panchyat water - Piped,Boiling,No,,"Rice, Vegetables","Sugar cane,turmeric",Firewood,SS pot,No,Directly to ground,Yes,No
219,11.34155,77.538476,4,Pattaththarasiamman Kovil Street,Thatched (Hut),Nil,No,Panchyat water - Piped,Nil,Yes,Yes,"Rice, Vegetables, Other crops","Sugarcane,banana","Firewood, LPG",Aluminium pot,Yes,Directly to ground,No,No
220,11.342012,77.5383,4,Pattaththarasiamman Kovil Street,Thatched (Hut),Nil,No,Panchyat water - Piped,Boiling,No,,Nil,,"Kerosene, Firewood, LPG",Aluminium pot,No,Directly to soakpit/ sewage canal,No,No
221,11.341914,77.537893,4,Pattaththarasiamman Kovil Street,Thatched (Hut),Nil,No,Panchyat water - Piped,Nil,Yes,No/ Not known,"Rice, Vegetables, Coconut, Banana","Sugarcane,banana",LPG,Aluminium pot,Yes,Directly to ground,No,No
222,11.342059,77.54385,4,Pattaththarasiamman Kovil Street,Thatched (Hut),Open well,No,Panchyat water - Piped,Nil,No,,Nil,,LPG,Aluminium pot,No,Directly to soakpit/ sewage canal,No,No
223,11.342143,77.538038,4,Pattaththarasiamman Kovil Street,Thatched (Hut),Nil,No,Panchyat water - Piped,Nil,Yes,Yes,"Rice, Vegetables, Coconut, Banana","Sugarcane,banana",LPG,Aluminium pot,No,Directly to ground,No,No
224,11.34252,77.537877,4,Pattaththarasiamman Kovil Street,Thatched (Hut),Nil,No,Panchyat water - Piped,Nil,No,,Nil,,LPG,Aluminium pot,No,Directly to soakpit/ sewage canal,No,No
225,11.342147,77.537758,4,Pattaththarasiamman Kovil Street,Thatched (Hut),Nil,No,Panchyat water - Piped,Nil,No,,Nil,,LPG,Aluminium pot,No,Directly to soakpit/ sewage canal,No,No
226,11.342532,77.538097,4,Pattaththarasiamman Kovil Street,Thatched (Hut),Nil,No,Panchyat water - Piped,Nil,Yes,No/ Not known,Other crops,Wheat,LPG,SS pot,No,Directly to soakpit/ sewage canal,No,No
227,11.341411,77.537962,4,Pattaththarasiamman Kovil Street,Thatched (Hut),Nil,No,Panchyat water - Piped,Nil,Yes,No/ Not known,"Rice, Vegetables, Coconut, Banana","Sugarcane,banana",LPG,Aluminium pot,Yes,Directly to ground,No,No
228,11.341695,77.538131,4,Pattaththarasiamman Kovil Street,Thatched (Hut),Nil,No,Panchyat water - Piped,Nil,Yes,No/ Not known,Nil,No,LPG,SS pot,No,Directly to soakpit/ sewage canal,No,No
229,11.341897,77.53655,5,Gandhi Veethi,Thatched (Hut),Nil,No,Panchyat water - Piped,Nil,No,,"Vegetables, Coconut, Banana",,LPG,Aluminium pot,No,Directly to ground,Yes,Yes
230,11.351507,77.537042,5,Pattatharasiamman kovil street,Thatched (Hut),Nil,No,Panchyat water - Piped,Boiling,Yes,Yes,Nil,,LPG,Pressure cooker,No,Directly to ground,No,No
231,11.343465,77.544208,5,Gandhi Veethi,Thatched (Hut),Nil,No,Panchyat water - Piped,Boiling,Yes,Yes,Nil,,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
232,11.34168,77.537613,5,Pattatharasiamman kovil street,Thatched (Hut),Nil,No,Panchyat water - Piped,Boiling,Yes,No/ Not known,Nil,,LPG,Pressure cooker,No,Directly to ground,No,No
233,,,5,Pattatharasiamman kovil street,Thatched (Hut),Nil,No,Panchyat water - Piped,Boiling,Yes,No/ Not known,Nil,,LPG,Pressure cooker,No,Directly to ground,No,No
234,11.343465,77.544208,5,Pattatharasiamman kovil street,Thatched (Hut),Nil,No,Panchyat water - Piped,Nil,Yes,Yes,Nil,,LPG,Pressure cooker,No,Directly to ground,No,No
235,11.343465,77.544208,5,Pattatharasiamman kovil street,Thatched (Hut),Nil,No,Panchyat water - Piped,Boiling,Yes,No/ Not known,Nil,,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
236,11.343465,77.544208,5,Gandhi Veethi,Thatched (Hut),Open well,Yes,Panchyat water - Piped,Boiling,Yes,Yes,"Rice, Banana, Coconut, Vegetables",,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
237,11.342147,77.537758,5,Pattatharasiamman kovil street,Thatched (Hut),Nil,No,Bore well,Boiling,No,,"Vegetables, Coconut, Banana",,"LPG, Firewood",Earthern pot,Yes,Directly to soakpit/ sewage canal,Yes,No
238,,,6,Pillaiyarkovil Veethi,Thatched (Hut),Open well,Yes,Bore well,Boiling,No,,Nil,Nil,Firewood,SS pot,No,Directly to ground,Yes,Yes
239,,,6,Pillaiyarkovil Veethi,Thatched (Hut),Bore well,Yes,Bore well,Boiling,Yes,No/ Not known,Nil,Nil,Firewood,SS pot,Yes,Directly to ground,Yes,Yes
240,11.34224,77.537117,6,Pillaiyarkovil Veethi,Thatched (Hut),Both,Yes,Bore well,Boiling,Yes,No/ Not known,Nil,Nil,LPG,SS pot,No,Directly to ground,Yes,Yes
241,11.346476,77.549582,6,Pillaiyarkovil Veethi,Thatched (Hut),Open well,No,Panchyat water - Piped,Nil,Yes,No/ Not known,"Rice, Banana, Corn, Other crops",Sugar cane,LPG,Aluminium pot,Yes,Directly to soakpit/ sewage canal,Yes,No
242,11.343419,77.537001,6,Pillaiyarkovil Veethi,Thatched (Hut),Bore well,No,Panchyat water - Piped,Nil,Yes,No/ Not known,"Rice, Banana, Corn, Other crops",Sugar can,LPG,SS pot,No,Directly to soakpit/ sewage canal,Yes,Yes
243,11.343281,77.537024,6,Pillaiyarkovil Veethi,Thatched (Hut),Bore well,No,Panchyat water - Piped,Nil,Yes,No/ Not known,"Rice, Banana, Corn, Other crops",Sugar can,LPG,Electric cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
244,11.342482,77.5369,6,Pillaiyarkovil Veethi,Thatched (Hut),Bore well,No,Panchyat water - Piped,Nil,Yes,No/ Not known,"Rice, Corn, Other crops, Banana",Sugar can,LPG,SS pot,No,Directly to soakpit/ sewage canal,No,No
245,11.342447,77.536944,6,Pillaiyarkovil Veethi,Thatched (Hut),Bore well,No,Panchyat water - Piped,Nil,Yes,No/ Not known,"Rice, Corn, Banana, Other crops",Sugar can,LPG,SS pot,No,Directly to soakpit/ sewage canal,No,No
246,11.343651,77.537053,6,Pillaiyarkovil Veethi,Thatched (Hut),Nil,Yes,Panchyat water - Piped,Nil,Yes,No/ Not known,"Rice, Corn, Banana, Other crops",Banana,LPG,SS pot,Yes,Farming/ Gardening,Yes,Yes
247,11.343149,77.537065,6,Pillaiyarkovil Veethi,Thatched (Hut),Bore well,No,Panchyat water - Piped,Nil,Yes,No/ Not known,"Rice, Coconut, Banana, Corn, Other crops",Sugar can,LPG,SS pot,Yes,Directly to soakpit/ sewage canal,No,No
248,11.344306,77.536576,7,Nallampatti Koththukkarar Veethi,Thatched (Hut),Nil,No,Panchyat water - Piped,Nil,Yes,Yes,Rice,Ragi,Firewood,Earthern pot,No,Directly to soakpit/ sewage canal,Yes,Yes
249,11.343723,77.53639,7,Nallampatti Mariamman Kovil Veethi,Thatched (Hut),Nil,No,Panchyat water - Piped,Boiling,Yes,Yes,"Banana, Coconut",Rice,LPG,Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,Yes
250,11.344318,77.536911,7,Nallampatti Koththukkarar Veethi,Thatched (Hut),Bore well,No,Panchyat water - Piped,Nil,Yes,Yes,Rice,Rice,LPG,Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,Yes
251,11.340404,77.529517,8,Old Thasamputhur,Thatched (Hut),Bore well,No,Bore well,Nil,Yes,Yes,"Banana, Rice, Coconut",,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
252,11.341161,77.53095,8,Old Thasamputhur,Thatched (Hut),Both,No,Bore well,Nil,Yes,Yes,Rice,Sugarcane,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
253,11.341115,77.529875,8,Pappangkadu Veeramathi Veethi,Thatched (Hut),Open well,No,Open well,Nil,Yes,No/ Not known,"Vegetables, Coconut, Other crops",Onion,LPG,Pressure cooker,No,Directly to ground,No,No
254,11.342073,77.527144,8,West Puthuthottam,Thatched (Hut),Both,Yes,Open well,Nil,Yes,Yes,Rice,Sugarcane,LPG,Pressure cooker,No,Farming/ Gardening,Yes,Yes
255,11.341115,77.529875,8,Pappangkadu Veeramathi Veethi,Thatched (Hut),Open well,No,Open well,Nil,Yes,No/ Not known,"Vegetables, Other crops",Brinjal,LPG,Pressure cooker,No,Directly to ground,No,No
256,11.341161,77.53095,8,Pappangkadu Veeramathi Veethi,Thatched (Hut),Open well,Yes,Open well,Boiling,Yes,No/ Not known,"Vegetables, Other crops",Brinjal,LPG,Pressure cooker,No,Directly to ground,No,No
257,11.341746,77.533566,8,Pappangkadu Veeramathi Veethi,Thatched (Hut),Open well,No,Open well,Nil,Yes,No/ Not known,Vegetables,Brinjal,LPG,Pressure cooker,No,Directly to ground,No,No
258,11.342205,77.535989,8,Durgaiamman Kovil Veethi,Thatched (Hut),Nil,Yes,Panchayat water - Overhead tank,Nil,No,,"Rice, Vegetables, Coconut, Banana, Ground nut, Corn, Other crops","Bottle gourd ,bitter gourd",LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
259,11.341699,77.533449,8,Pappangkadu Veeramathi Veethi,Thatched (Hut),Nil,No,Panchyat water - Piped,Boiling,Yes,Yes,"Rice, Vegetables",,LPG,Pressure cooker,Yes,Directly to soakpit/ sewage canal,No,No
260,11.341035,77.533678,8,Durgaiamman Kovil Veethi,Thatched (Hut),Nil,Yes,Panchyat water - Piped,Boiling,No,,"Rice, Vegetables",,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
261,11.341475,77.533537,8,Pappangkadu Veeramathi Veethi,Thatched (Hut),Nil,Yes,Panchyat water - Piped,Boiling,Yes,No/ Not known,"Rice, Vegetables",,LPG,Pressure cooker,Yes,Directly to ground,Yes,Yes
