Sl No.,Latitude,Longitude,Ward,Street Name,Type_of_House,Presence_of_well_,Presence_of_overhead,Source_of_drinking,Processed_for_Drinking,Presence_of_farml,If_yes_chemical_f,Crops_grown_in_Na,Specify_the_veget,Fuel_used_for_cook,Vessel_largely_use,Use_of_insectmosq,Grey Water Discharge,Presence of Toilet,Presence_of_septi
424,11.34168,77.536938,5,Gandhi Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,No,,"Vegetables, Coconut, Banana",,LPG,SS pot,No,Directly to soakpit/ sewage canal,Yes,Yes
425,11.351507,77.537042,5,Gandhi Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,Yes,No/ Not known,"Banana, Coconut",,"LPG, Firewood",Aluminium pot,No,Directly to ground,No,No
426,,,6,Pillaiyarkovil Veethi,Tiled (Ottu),Bore well,No,Bore well,Nil,No,,Nil,Nil,LPG,SS pot,No,Directly to ground,No,Yes
427,,,6,Pillaiyarkovil Veethi,Tiled (Ottu),Bore well,No,Bore well,Nil,Yes,Yes,Nil,Nil,LPG,SS pot,No,Farming/ Gardening,No,No
428,11.343533,77.537614,6,Pillaiyarkovil Veethi,Tiled (Ottu),Bore well,Yes,Bore well,Nil,Yes,No/ Not known,"Rice, Banana, Corn, Other crops",Banana,LPG,SS pot,No,Farming/ Gardening,Yes,Yes
429,11.346476,77.549582,6,Pillaiyarkovil Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Boiling,No,,Nil,Nil,LPG,Pressure cooker,Yes,Directly to ground,Yes,Yes
430,11.343451,77.537004,6,Pillaiyarkovil Veethi,Tiled (Ottu),Both,Yes,Panchyat water - Piped,Boiling,Yes,No/ Not known,Nil,Nil,LPG,SS pot,Yes,Directly to ground,Yes,Yes
431,11.343803,77.537055,6,Pillaiyarkovil Veethi,Tiled (Ottu),Bore well,Yes,Panchyat water - Piped,Nil,Yes,No/ Not known,"Rice, Coconut, Banana, Corn, Other crops",Sugar can,LPG,SS pot,No,Directly to soakpit/ sewage canal,Yes,Yes
432,11.344104,77.537102,6,Pillaiyarkovil Veethi,Tiled (Ottu),Both,Yes,Panchyat water - Piped,Boiling,Yes,Yes,Nil,Nil,LPG,SS pot,No,Directly to ground,Yes,Yes
433,11.343268,77.537343,6,Pillaiyarkovil Veethi,Tiled (Ottu),Nil,Yes,Panchyat water - Piped,Boiling,Yes,Yes,"Coconut, Banana, Rice, Other crops","Cane, turmeric",LPG,Pressure cooker,No,Directly to ground,Yes,Yes
434,11.343308,77.537072,6,Pillaiyarkovil Veethi,Tiled (Ottu),Both,Yes,Panchyat water - Piped,Personal RO,Yes,No/ Not known,Nil,Nil,LPG,SS pot,Yes,Directly to ground,Yes,No
435,11.343465,77.544208,6,Pillaiyarkovil Veethi,Tiled (Ottu),Bore well,Yes,Panchyat water - Piped,Nil,No,,Nil,No,LPG,SS pot,No,Directly to soakpit/ sewage canal,No,No
436,11.343465,77.544208,6,Pillaiyarkovil Veethi,Tiled (Ottu),Nil,Yes,Panchyat water - Piped,Boiling,No,,Nil,Nil,LPG,Pressure cooker,No,Directly to ground,No,No
437,11.341406,77.536684,6,Pillaiyarkovil Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Boiling,No,,Nil,Nil,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
438,11.343377,77.537152,6,Pillaiyarkovil Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Boiling,Yes,Yes,"Coconut, Rice, Banana","Cane, turmeric",LPG,Pressure cooker,Yes,Directly to ground,No,No
439,11.343342,77.537213,6,Pillaiyarkovil Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,Yes,Yes,"Coconut, Banana, Rice","Cane, turmeric",LPG,Pressure cooker,Yes,Directly to ground,No,No
440,11.335986,77.537224,7,Nallampatti Mariamman Kovil Veethi,Tiled (Ottu),Nil,Yes,Panchayat water - Overhead tank,Nil,No,,"Vegetables, Coconut, Banana",,Firewood,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
441,11.344653,77.536311,7,Nallampatti Koththukkarar Veethi,Tiled (Ottu),Open well,Yes,Bore well,Nil,Yes,Yes,Banana,No,LPG,SS pot,No,Directly to soakpit/ sewage canal,Yes,Yes
442,11.343166,77.536425,7,Nallampatti Mariamman Kovil Veethi,Tiled (Ottu),Open well,No,Bore well,Boiling,Yes,Yes,"Rice, Vegetables, Coconut, Banana, Corn, Ground nut, Other crops",No,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
443,11.344206,77.536347,7,Nallampatti Koththukkarar Veethi,Tiled (Ottu),Nil,Yes,Bore well,Nil,No,,Nil,No,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
444,11.34239,77.535993,7,Nallampatti Mariamman Kovil Veethi,Tiled (Ottu),Open well,No,Open well,Boiling,No,,"Vegetables, Coconut, Banana, Corn, Ground nut, Rice",No,LPG,Pressure cooker,Yes,Directly to soakpit/ sewage canal,No,No
445,11.342546,77.536113,7,Nallampatti Mariamman Kovil Veethi,Tiled (Ottu),Bore well,Yes,Panchayat water - Overhead tank,Nil,Yes,Yes,Rice,Nil,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
446,,,7,Nallampatti Mariamman Kovil Veethi,Tiled (Ottu),Nil,Yes,Panchayat water - Syntex tank,Nil,No,,Vegetables,"Snake gourd,ridge gourd",LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
447,11.344287,77.536293,7,Nallampatti Mariamman Kovil Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,No,,Rice,Nil,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
448,11.344448,77.536632,7,Nallampatti Koththukkarar Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Boiling,Yes,Yes,Nil,Rice,LPG,Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,Yes
449,11.343465,77.544208,7,Nallampatti Koththukkarar Veethi,Tiled (Ottu),Bore well,No,Panchyat water - Piped,Nil,Yes,Yes,Rice,Ragi,LPG,Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,Yes
450,11.344006,77.53631,7,Nallampatti Koththukkarar Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,No,,Rice,No,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,No
451,11.344263,77.536352,7,Nallampatti Koththukkarar Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,No,,Rice,Tomato chilli sugar cane,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,Yes
452,11.344069,77.53627,7,Nallampatti Koththukkarar Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,No,,Rice,No,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
453,,,7,Nallampatti Mariamman Kovil Veethi,Tiled (Ottu),Open well,No,Panchyat water - Piped,Nil,Yes,Yes,"Rice, Vegetables, Coconut, Banana, Corn, Ground nut, Other crops",No,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
454,11.344315,77.536515,7,Nallampatti Mariamman Kovil Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,No,,"Rice, Vegetables",Nil,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,No,No
455,11.343465,77.544208,7,Nallampatti Koththukkarar Veethi,Tiled (Ottu),Open well,No,Panchyat water - Piped,Nil,No,,Rice,No,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
456,11.342147,77.537758,7,Nallampatti Koththukkarar Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,Yes,No/ Not known,"Rice, Banana",No,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
457,11.34232,77.535831,7,Nallampatti Mariamman Kovil Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,Yes,Yes,Rice,Rice,LPG,Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,Yes
458,11.343148,77.536541,7,Nallampatti Mariamman Kovil Veethi,Tiled (Ottu),Bore well,Yes,Panchyat water - Piped,Boiling,Yes,No/ Not known,Vegetables,Nil,LPG,Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
459,11.343063,77.537015,7,Nallampatti Koththukkarar Veethi,Tiled (Ottu),Nil,No,Panchyat water - Piped,Nil,Yes,Yes,"Rice, Coconut",No,LPG,Aluminium pot,No,Directly to soakpit/ sewage canal,Yes,Yes
460,,,7,Nallampatti Mariamman Kovil Veethi,Tiled (Ottu),Nil,Yes,Panchyat water - Piped,Boiling,Yes,Yes,"Rice, Vegetables, Coconut, Banana, Corn, Ground nut, Other crops",No,"LPG, Firewood",Pressure cooker,No,Directly to soakpit/ sewage canal,Yes,Yes
461,11.341161,77.53095,8,West Puthuthottam,Tiled (Ottu),Both,Yes,Bore well,Boiling,Yes,Yes,Other crops,Sugarcane,LPG,Pressure cooker,No,Directly to ground,Yes,Yes
