Latitude,Longitude,Ward,Street Name,Source_of_drinking,Processed_for_Drinking,Grey Water Discharge,Presence of Toilet
11.337306,77.543156,12,Naduvalasu Cashier Veethi,Bore well,Nil,Directly to ground,Yes
11.356172,77.531663,1,Pillaiyarkovil Veethi Thotta paguthigal,Open well,Nil,Farming/ Gardening,Yes
11.346263,77.544566,1,Kothukaraveethi Thotta paguthigal,Open well,Nil,Farming/ Gardening,Yes
11.343465,77.544208,1,Kothukaraveethi Thotta paguthigal,Open well,Nil,Directly to ground,Yes
11.349982,77.539177,2,Kothukara Veethi Thottapaguthigal,Open well,Nil,Directly to ground,No
11.349982,77.539177,2,Kothukara Veethi Thottapaguthigal,Open well,Nil,Directly to ground,No
11.353605,77.529159,2,Kothukara Veethi Thottapaguthigal,Bore well,Nil,Farming/ Gardening,Yes
11.35359,77.5288,2,Kothukara Veethi Thottapaguthigal,Open well,Nil,Directly to ground,Yes
11.347415,77.554346,2,JJ Nagar Thottapaguthigal,Bore well,Nil,Farming/ Gardening,Yes
11.343843,77.544924,2,Kothukara Veethi Thottapaguthigal,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.342435,77.543069,3,Ricemill Puthur Thottapaguthigal,Panchayat water - Overhead tank,Nil,Farming/ Gardening,No
11.332306,77.543491,3,Ricemill Puthur Thottapaguthigal,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.34649,77.549406,3,JJ Nagar,Panchyat water - Piped,Nil,Farming/ Gardening,Yes
11.342435,77.543069,3,Ricemill Puthur Thottapaguthigal,Panchyat water - Piped,Personal RO,Directly to ground,Yes
11.341422,77.53842,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Boiling,Directly to soakpit/ sewage canal,No
11.34159,77.538387,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.34155,77.538476,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to ground,No
11.342012,77.5383,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Boiling,Directly to soakpit/ sewage canal,No
11.341914,77.537893,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to ground,No
11.342059,77.54385,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.342143,77.538038,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to ground,No
11.34252,77.537877,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.342147,77.537758,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.342532,77.538097,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.341411,77.537962,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to ground,No
11.341695,77.538131,4,Pattaththarasiamman Kovil Street,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.341897,77.53655,5,Gandhi Veethi,Panchyat water - Piped,Nil,Directly to ground,Yes
11.351507,77.537042,5,Pattatharasiamman kovil street,Panchyat water - Piped,Boiling,Directly to ground,No
11.343465,77.544208,5,Gandhi Veethi,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.34168,77.537613,5,Pattatharasiamman kovil street,Panchyat water - Piped,Boiling,Directly to ground,No
11.351507,77.537042,5,Pattatharasiamman kovil street,Panchyat water - Piped,Boiling,Directly to ground,No
11.343465,77.544208,5,Pattatharasiamman kovil street,Panchyat water - Piped,Nil,Directly to ground,No
11.343465,77.544208,5,Pattatharasiamman kovil street,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.343465,77.544208,5,Gandhi Veethi,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.342147,77.537758,5,Pattatharasiamman kovil street,Bore well,Boiling,Directly to soakpit/ sewage canal,Yes
11.343419,77.537001,6,Pillaiyarkovil Veethi,Bore well,Boiling,Directly to ground,Yes
11.343281,77.537024,6,Pillaiyarkovil Veethi,Bore well,Boiling,Directly to ground,Yes
11.34224,77.537117,6,Pillaiyarkovil Veethi,Bore well,Boiling,Directly to ground,Yes
11.346476,77.549582,6,Pillaiyarkovil Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.343419,77.537001,6,Pillaiyarkovil Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.343281,77.537024,6,Pillaiyarkovil Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.342482,77.5369,6,Pillaiyarkovil Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
