Latitude,Longitude,Ward,Street Name,Source_of_drinking,Processed_for_Drinking,Grey Water Discharge,Presence of Toilet
11.340849,77.519683,9,Masammavur Pomman Veethi,Open well,Nil,Directly to ground,No
11.341828,77.519408,9,Masammavur Pomman Veethi,Open well,Nil,Farming/ Gardening,Yes
11.344462,77.510524,9,Masammavur Pomman Veethi,Open well,Nil,Directly to ground,No
11.342255,77.520105,9,Masammavur Pomman Veethi,Open well,Nil,Directly to soakpit/ sewage canal,Yes
11.339211,77.525683,9,Thasaiyar Veethi,Open well,Nil,Directly to ground,Yes
11.348139,77.515183,9,Masammavur Pomman Veethi,Open well,Boiling,Farming/ Gardening,Yes
11.34287,77.519263,9,Masammavur Pomman Veethi,Open well,Nil,Directly to ground,Yes
11.339086,77.527211,9,Masammavur Pomman Veethi,Open well,Boiling,Farming/ Gardening,Yes
11.340537,77.525308,9,Thasamputhur Kotthukarar Veethi,Panchayat water - Overhead tank,Nil,Directly to ground,Yes
11.340537,77.525308,9,Thasamputhur Kotthukarar Veethi,Panchayat water - Overhead tank,Nil,Directly to ground,Yes
11.339851,77.526073,9,Thasamputhur Kotthukarar Veethi,Panchyat water - Piped,Nil,Directly to ground,Yes
11.337516,77.519869,9,Masammavur Pomman Veethi,Panchyat water - Piped,Nil,Directly to ground,No
11.340404,77.529517,9,Thasaiyar Veethi,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.339367,77.52028,9,Masammavur Pomman Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.340404,77.529517,9,Thasaiyar Veethi,Panchyat water - Piped,Nil,Directly to ground,No
11.338822,77.526258,9,Thasamputhur Kotthukarar Veethi,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.339955,77.52626,9,Thasamputhur Kotthukarar Veethi,Panchyat water - Piped,Nil,Directly to ground,No
11.337592,77.519955,9,Masammavur Pomman Veethi,Panchyat water - Piped,Nil,Farming/ Gardening,No
11.339644,77.519842,9,Masammavur Pomman Veethi,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.339529,77.52054,9,Masammavur Pomman Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.339861,77.526099,9,Thasamputhur Kotthukarar Veethi,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.341076,77.534728,9,Thasamputhur Kotthukarar Veethi,Open well,Nil,Directly to soakpit/ sewage canal,Yes
11.334138,77.513032,9,Aathikkattur Kamarajar Veethi,Open well,Nil,Directly to soakpit/ sewage canal,Yes
11.340404,77.529517,9,Thasaiyar Veethi,Panchayat water - Overhead tank,Nil,Directly to ground,Yes
11.339961,77.519893,9,Masammavur Pomman Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.3334,77.5202,9,Masammavur Pomman Veethi,Panchyat water - Piped,Nil,Directly to ground,No
11.338041,77.520706,9,Masammavur Pomman Veethi,Panchyat water - Piped,Nil,Farming/ Gardening,Yes
11.338099,77.52092,9,Masammavur Pomman Veethi,Panchyat water - Piped,Nil,Directly to ground,No
11.337667,77.537137,10,Naduvalasu Kothukarar Veethi,Bore well,Nil,Farming/ Gardening,Yes
11.337667,77.537137,10,Naduvalasu Kothukarar Veethi,Open well,Nil,Directly to soakpit/ sewage canal,No
11.337048,77.537433,10,Naduvalasu Kothukarar Veethi,Open well,Nil,Directly to soakpit/ sewage canal,Yes
11.337048,77.537433,10,Annamaar Veethi Main Road,Panchayat water - Overhead tank,Nil,Directly to soakpit/ sewage canal,Yes
11.336116,77.543133,10,Naduvalasu Kothukarar Veethi,Panchayat water - Overhead tank,Boiling,Directly to ground,Yes
11.337921,77.538001,10,Naduvalasu Kothukarar Veethi,Panchayat water - Overhead tank,Nil,Directly to soakpit/ sewage canal,No
11.337205,77.537703,10,Naduvalasu Kothukarar Veethi,Panchayat water - Syntex tank,Boiling,Directly to ground,No
11.336116,77.543133,10,Naduvalasu Kothukarar Veethi,Panchayat water - Syntex tank,Boiling,Directly to soakpit/ sewage canal,Yes
11.337541,77.537243,10,Naduvalasu Kothukarar Veethi,Panchayat water - Syntex tank,Nil,Directly to soakpit/ sewage canal,Yes
11.337587,77.53788,10,Naduvalasu Kothukarar Veethi,Panchayat water - Syntex tank,Nil,Directly to soakpit/ sewage canal,Yes
11.340648,77.537582,10,Naduvalasu Kothukarar Veethi,Panchayat water - Syntex tank,Nil,Directly to soakpit/ sewage canal,Yes
11.337629,77.537989,10,Naduvalasu Kothukarar Veethi,Panchyat water - Piped,Boiling,Directly to soakpit/ sewage canal,No
11.333712,77.54385,10,Naduvalasu Kothukarar Veethi,Panchyat water - Piped,Nil,Directly to ground,Yes
11.337538,77.537153,10,Naduvalasu Kothukarar Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.337508,77.537503,10,Naduvalasu Kothukarar Veethi,Panchayat water - Syntex tank,Nil,Directly to ground,No
11.340146,77.544472,11,Ricemill Puthur Colony,Panchyat water - Piped,Nil,Directly to ground,No
11.340883,77.544465,11,Ricemill Puthur Colony,Panchyat water - Piped,Nil,Directly to ground,No
11.33586,77.545283,11,Ricemill Puthur Colony,Panchyat water - Piped,Personal RO,Directly to soakpit/ sewage canal,No
11.340806,77.544894,11,Ricemill Puthur Colony,Panchyat water - Piped,Boiling,Directly to ground,No
11.340897,77.54481,11,Ricemill Puthur Colony,Panchyat water - Piped,Nil,Directly to ground,Yes
11.340229,77.544168,11,Ricemill Puthur Colony,Panchyat water - Piped,Nil,Directly to ground,No
11.340895,77.54464,11,Ricemill Puthur Colony,Panchyat water - Piped,Nil,Directly to ground,No
11.340488,77.544322,11,Ricemill Puthur Colony,Panchyat water - Piped,Nil,Directly to ground,No
11.341236,77.544483,11,Ricemill Puthur Colony,Panchyat water - Piped,Nil,Directly to ground,No
11.340364,77.544574,11,Ricemill Puthur Colony,Panchyat water - Piped,Nil,Directly to ground,No
11.340848,77.544003,11,Ricemill Puthur Colony,Panchyat water - Piped,Nil,Directly to ground,Yes
11.340404,77.529517,12,Naduvalasu LIC Veethi,Bore well,Boiling,Directly to ground,Yes
11.332639,77.543133,12,Naduvalasu Cashier Veethi,Open well,Nil,Directly to ground,No
11.334874,77.538475,12,Naduvalasu Cashier Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.334862,77.546358,12,Manakkattu Puthur Pillaiyarkovil veethi,Open well,Nil,Farming/ Gardening,Yes
11.334862,77.546358,12,Naduvalasu LIC Veethi,Open well,Boiling,Directly to soakpit/ sewage canal,Yes
11.341692,77.53525,12,Naduvalasu Nehru Veethi,Bore well,Personal RO,Directly to soakpit/ sewage canal,Yes
11.335814,77.544208,12,Manakkattu Puthur Pillaiyarkovil veethi,Bore well,Boiling,Farming/ Gardening,Yes
11.336941,77.538846,12,Ricemill Puthur Thottapaguthigal,Bore well,Boiling,Farming/ Gardening,Yes
11.335083,77.556077,12,Manakkattu Puthur Pillaiyarkovil veethi,Bore well,Nil,Directly to soakpit/ sewage canal,Yes
11.336116,77.543133,12,Oonjakadu,Bore well,Nil,Farming/ Gardening,Yes
11.336924,77.547427,12,Ricemill Puthur Thottapaguthigal,Bore well,Boiling,Directly to soakpit/ sewage canal,Yes
11.335088,77.543491,12,Ricemill Puthur Thottapaguthigal,Bore well,Nil,Farming/ Gardening,Yes
11.335088,77.543491,12,Ricemill Puthur Thottapaguthigal,Bore well,Boiling,Directly to ground,Yes
11.337122,77.548104,12,Ricemill Puthur Thottapaguthigal,Bore well,Nil,Farming/ Gardening,Yes
11.339659,77.548946,12,Ricemill Puthur Thottapaguthigal,Open well,Nil,Directly to ground,Yes
11.334151,77.550523,12,Manakkattu Puthur Pillaiyarkovil veethi,Open well,Nil,Farming/ Gardening,Yes
11.335914,77.537878,12,Naduvalasu Cashier Veethi,Open well,Nil,Directly to ground,Yes
11.343465,77.544208,12,Ricemill Puthur Thottapaguthigal,Open well,Nil,Directly to ground,Yes
11.336849,77.547248,12,Ricemill Puthur Thottapaguthigal,Open well,Nil,Farming/ Gardening,Yes
11.33655,77.544979,12,Ricemill Puthur Thottapaguthigal,Open well,Nil,Directly to soakpit/ sewage canal,Yes
11.336116,77.543133,12,Manakkattu Puthur Pillaiyarkovil veethi,Open well,Nil,Farming/ Gardening,Yes
11.336116,77.543133,12,Manakkattu Puthur Pillaiyarkovil veethi,Panchayat water - Overhead tank,Nil,Directly to ground,Yes
11.336116,77.543133,12,Manakkattu Puthur Pillaiyarkovil veethi,Panchayat water - Overhead tank,Nil,Farming/ Gardening,Yes
11.336178,77.537231,12,Naduvalasu LIC Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.332986,77.543133,12,Naduvalasu Cashier Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.333712,77.54385,12,Naduvalasu Cashier Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.336422,77.537415,12,Naduvalasu LIC Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.336116,77.543133,12,Naduvalasu Cashier Veethi,Panchyat water - Piped,Nil,Directly to ground,Yes
11.339835,77.540625,12,Naduvalasu Cashier Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.336115,77.537616,12,Naduvalasu Nehru Veethi,Panchyat water - Piped,Personal RO,Directly to soakpit/ sewage canal,No
11.336194,77.537148,12,Naduvalasu LIC Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.336203,77.537453,12,Naduvalasu Cashier Veethi,Panchyat water - Piped,Boiling,Directly to ground,Yes
11.332986,77.543133,12,Naduvalasu LIC Veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,Yes
11.334874,77.538475,12,Manakkattu Puthur Pillaiyarkovil veethi,Panchyat water - Piped,Nil,Directly to soakpit/ sewage canal,No
11.334874,77.538475,12,Naduvalasu LIC Veethi,Panchyat water - Piped,Boiling,Directly to soakpit/ sewage canal,No
